State,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
GEORGIA-Nonmetropolitan Counties,Talbot,12,8,4
GEORGIA-Nonmetropolitan Counties,Taliaferro,14,8,6
GEORGIA-Nonmetropolitan Counties,Tattnall,34,19,15
GEORGIA-Nonmetropolitan Counties,Telfair,16,14,2
GEORGIA-Nonmetropolitan Counties,Thomas,77,42,35
GEORGIA-Nonmetropolitan Counties,Tift,111,49,62
GEORGIA-Nonmetropolitan Counties,Treutlen,19,9,10
GEORGIA-Nonmetropolitan Counties,Troup,127,75,52
GEORGIA-Nonmetropolitan Counties,Turner,33,15,18
GEORGIA-Nonmetropolitan Counties,Union,39,36,3
GEORGIA-Nonmetropolitan Counties,Upson,65,34,31
GEORGIA-Nonmetropolitan Counties,Ware,125,45,80
GEORGIA-Nonmetropolitan Counties,Warren,13,6,7
GEORGIA-Nonmetropolitan Counties,Washington,41,24,17
GEORGIA-Nonmetropolitan Counties,Wayne,54,29,25
GEORGIA-Nonmetropolitan Counties,Webster,6,5,1
GEORGIA-Nonmetropolitan Counties,White,65,42,23
GEORGIA-Nonmetropolitan Counties,Wilcox,17,9,8
GEORGIA-Nonmetropolitan Counties,Wilkes,27,14,13
GEORGIA-Nonmetropolitan Counties,Wilkinson,27,16,11
HAWAII-Nonmetropolitan Counties,Hawaii Police Department,551,424,127
HAWAII-Nonmetropolitan Counties,Kauai Police Department,176,129,47
HAWAII-Nonmetropolitan Counties,Maui Police Department,462,344,118
IDAHO-Metropolitan Counties,Ada,394,131,263
IDAHO-Metropolitan Counties,Bannock,66,40,26
IDAHO-Metropolitan Counties,Boise,20,11,9
IDAHO-Metropolitan Counties,Bonneville,95,64,31
IDAHO-Metropolitan Counties,Canyon,209,110,99
IDAHO-Metropolitan Counties,Franklin,15,12,3
IDAHO-Metropolitan Counties,Gem,24,13,11
IDAHO-Metropolitan Counties,Jefferson,32,17,15
IDAHO-Metropolitan Counties,Kootenai,163,89,74
IDAHO-Metropolitan Counties,Nez Perce,43,23,20
IDAHO-Metropolitan Counties,Owyhee,20,11,9
IDAHO-Metropolitan Counties,Power,17,9,8
IDAHO-Nonmetropolitan Counties,Adams,25,19,6
IDAHO-Nonmetropolitan Counties,Bear Lake,12,6,6
IDAHO-Nonmetropolitan Counties,Benewah,17,9,8
IDAHO-Nonmetropolitan Counties,Bingham,51,32,19
IDAHO-Nonmetropolitan Counties,Blaine,27,18,9
IDAHO-Nonmetropolitan Counties,Bonner,49,35,14
IDAHO-Nonmetropolitan Counties,Boundary,21,11,10
IDAHO-Nonmetropolitan Counties,Butte,12,4,8
IDAHO-Nonmetropolitan Counties,Camas,6,4,2
IDAHO-Nonmetropolitan Counties,Caribou,15,9,6
IDAHO-Nonmetropolitan Counties,Cassia,53,33,20
IDAHO-Nonmetropolitan Counties,Clark,7,3,4
IDAHO-Nonmetropolitan Counties,Clearwater,24,16,8
IDAHO-Nonmetropolitan Counties,Custer,12,6,6
IDAHO-Nonmetropolitan Counties,Elmore,42,21,21
IDAHO-Nonmetropolitan Counties,Fremont,27,18,9
IDAHO-Nonmetropolitan Counties,Gooding,18,13,5
IDAHO-Nonmetropolitan Counties,Idaho,32,22,10
IDAHO-Nonmetropolitan Counties,Jerome,23,17,6
IDAHO-Nonmetropolitan Counties,Latah,40,25,15
IDAHO-Nonmetropolitan Counties,Lemhi,9,8,1
IDAHO-Nonmetropolitan Counties,Lewis,10,5,5
IDAHO-Nonmetropolitan Counties,Lincoln,9,6,3
IDAHO-Nonmetropolitan Counties,Madison,33,23,10
IDAHO-Nonmetropolitan Counties,Minidoka,30,19,11
IDAHO-Nonmetropolitan Counties,Oneida,13,8,5
IDAHO-Nonmetropolitan Counties,Payette,32,17,15
IDAHO-Nonmetropolitan Counties,Shoshone,28,17,11
IDAHO-Nonmetropolitan Counties,Teton,24,12,12
IDAHO-Nonmetropolitan Counties,Twin Falls,66,44,22
IDAHO-Nonmetropolitan Counties,Valley,29,15,14
IDAHO-Nonmetropolitan Counties,Washington,20,12,8
ILLINOIS-Metropolitan Counties,Alexander,11,7,4
ILLINOIS-Metropolitan Counties,Bond,19,11,8
ILLINOIS-Metropolitan Counties,Boone,91,35,56
ILLINOIS-Metropolitan Counties,Calhoun,9,5,4
ILLINOIS-Metropolitan Counties,Champaign,154,54,100
ILLINOIS-Metropolitan Counties,Clinton,36,15,21
ILLINOIS-Metropolitan Counties,Cook,"6,596","2,132","4,464"
ILLINOIS-Metropolitan Counties,De Kalb,93,40,53
ILLINOIS-Metropolitan Counties,Du Page,555,423,132
ILLINOIS-Metropolitan Counties,Ford,27,7,20
ILLINOIS-Metropolitan Counties,Grundy,65,31,34
ILLINOIS-Metropolitan Counties,Henry,64,23,41
ILLINOIS-Metropolitan Counties,Jersey,31,13,18
ILLINOIS-Metropolitan Counties,Kane,114,86,28
ILLINOIS-Metropolitan Counties,Kankakee,198,57,141
ILLINOIS-Metropolitan Counties,Kendall,120,58,62
ILLINOIS-Metropolitan Counties,Lake,498,188,310
ILLINOIS-Metropolitan Counties,Macon,135,63,72
ILLINOIS-Metropolitan Counties,Macoupin,49,33,16
ILLINOIS-Metropolitan Counties,Madison,164,80,84
ILLINOIS-Metropolitan Counties,Marshall,18,8,10
ILLINOIS-Metropolitan Counties,McHenry,391,106,285
ILLINOIS-Metropolitan Counties,McLean,136,55,81
ILLINOIS-Metropolitan Counties,Menard,18,8,10
ILLINOIS-Metropolitan Counties,Monroe,34,15,19
ILLINOIS-Metropolitan Counties,Piatt,32,10,22
ILLINOIS-Metropolitan Counties,Rock Island,150,64,86
ILLINOIS-Metropolitan Counties,Sangamon,200,64,136
ILLINOIS-Metropolitan Counties,Stark,13,5,8
ILLINOIS-Metropolitan Counties,St. Clair,181,170,11
ILLINOIS-Metropolitan Counties,Tazewell,113,41,72
ILLINOIS-Metropolitan Counties,Vermilion,87,39,48
ILLINOIS-Metropolitan Counties,Winnebago,344,101,243
ILLINOIS-Metropolitan Counties,Woodford,38,37,1
ILLINOIS-Nonmetropolitan Counties,Adams,57,57,0
ILLINOIS-Nonmetropolitan Counties,Brown,9,8,1
ILLINOIS-Nonmetropolitan Counties,Bureau,36,18,18
ILLINOIS-Nonmetropolitan Counties,Carroll,24,9,15
ILLINOIS-Nonmetropolitan Counties,Cass,8,7,1
ILLINOIS-Nonmetropolitan Counties,Christian,37,18,19
ILLINOIS-Nonmetropolitan Counties,Clark,18,9,9
ILLINOIS-Nonmetropolitan Counties,Clay,15,10,5
ILLINOIS-Nonmetropolitan Counties,Coles,45,24,21
ILLINOIS-Nonmetropolitan Counties,Crawford,20,9,11
ILLINOIS-Nonmetropolitan Counties,Cumberland,15,6,9
ILLINOIS-Nonmetropolitan Counties,De Witt,45,13,32
ILLINOIS-Nonmetropolitan Counties,Douglas,32,13,19
ILLINOIS-Nonmetropolitan Counties,Edgar,18,7,11
ILLINOIS-Nonmetropolitan Counties,Edwards,7,4,3
ILLINOIS-Nonmetropolitan Counties,Effingham,47,19,28
ILLINOIS-Nonmetropolitan Counties,Fayette,27,11,16
ILLINOIS-Nonmetropolitan Counties,Franklin,48,17,31
ILLINOIS-Nonmetropolitan Counties,Fulton,43,21,22
ILLINOIS-Nonmetropolitan Counties,Gallatin,4,4,0
ILLINOIS-Nonmetropolitan Counties,Greene,13,6,7
ILLINOIS-Nonmetropolitan Counties,Hardin,4,2,2
ILLINOIS-Nonmetropolitan Counties,Henderson,8,7,1
ILLINOIS-Nonmetropolitan Counties,Iroquois,24,13,11
ILLINOIS-Nonmetropolitan Counties,Jackson,76,27,49
ILLINOIS-Nonmetropolitan Counties,Jasper,11,6,5
ILLINOIS-Nonmetropolitan Counties,Jefferson,71,21,50
ILLINOIS-Nonmetropolitan Counties,Jo Daviess,37,19,18
ILLINOIS-Nonmetropolitan Counties,Johnson,13,7,6
ILLINOIS-Nonmetropolitan Counties,Knox,59,22,37
ILLINOIS-Nonmetropolitan Counties,La Salle,112,42,70
ILLINOIS-Nonmetropolitan Counties,Lawrence,23,7,16
ILLINOIS-Nonmetropolitan Counties,Lee,39,21,18
ILLINOIS-Nonmetropolitan Counties,Logan,29,19,10
ILLINOIS-Nonmetropolitan Counties,Mason,21,9,12
ILLINOIS-Nonmetropolitan Counties,Massac,28,13,15
ILLINOIS-Nonmetropolitan Counties,McDonough,25,13,12
ILLINOIS-Nonmetropolitan Counties,Montgomery,40,15,25
ILLINOIS-Nonmetropolitan Counties,Morgan,40,15,25
ILLINOIS-Nonmetropolitan Counties,Moultrie,10,9,1
ILLINOIS-Nonmetropolitan Counties,Ogle,68,28,40
ILLINOIS-Nonmetropolitan Counties,Pike,26,12,14
ILLINOIS-Nonmetropolitan Counties,Pope,6,3,3
ILLINOIS-Nonmetropolitan Counties,Pulaski,12,8,4
ILLINOIS-Nonmetropolitan Counties,Putnam,13,8,5
ILLINOIS-Nonmetropolitan Counties,Randolph,28,12,16
ILLINOIS-Nonmetropolitan Counties,Richland,26,8,18
ILLINOIS-Nonmetropolitan Counties,Saline,48,13,35
ILLINOIS-Nonmetropolitan Counties,Schuyler,9,5,4
ILLINOIS-Nonmetropolitan Counties,Scott,6,2,4
ILLINOIS-Nonmetropolitan Counties,Shelby,25,12,13
ILLINOIS-Nonmetropolitan Counties,Stephenson,56,25,31
ILLINOIS-Nonmetropolitan Counties,Union,19,18,1
ILLINOIS-Nonmetropolitan Counties,Wabash,9,4,5
ILLINOIS-Nonmetropolitan Counties,Washington,25,10,15
ILLINOIS-Nonmetropolitan Counties,Wayne,21,11,10
ILLINOIS-Nonmetropolitan Counties,White,13,6,7
ILLINOIS-Nonmetropolitan Counties,Whiteside,33,20,13
INDIANA-Metropolitan Counties,Allen,328,124,204
INDIANA-Metropolitan Counties,Bartholomew,95,40,55
INDIANA-Metropolitan Counties,Benton,20,7,13
INDIANA-Metropolitan Counties,Boone,60,28,32
INDIANA-Metropolitan Counties,Brown,38,13,25
INDIANA-Metropolitan Counties,Clay,43,13,30
INDIANA-Metropolitan Counties,Dearborn,83,30,53
INDIANA-Metropolitan Counties,Delaware,107,42,65
INDIANA-Metropolitan Counties,Elkhart,179,72,107
INDIANA-Metropolitan Counties,Floyd,96,31,65
INDIANA-Metropolitan Counties,Franklin,39,27,12
INDIANA-Metropolitan Counties,Gibson,43,17,26
INDIANA-Metropolitan Counties,Greene,40,14,26
INDIANA-Metropolitan Counties,Hamilton,227,61,166
INDIANA-Metropolitan Counties,Hancock,70,39,31
INDIANA-Metropolitan Counties,Harrison,57,22,35
INDIANA-Metropolitan Counties,Hendricks,99,43,56
INDIANA-Metropolitan Counties,Howard,138,33,105
INDIANA-Metropolitan Counties,Jasper,54,23,31
INDIANA-Metropolitan Counties,Johnson,142,112,30
INDIANA-Metropolitan Counties,La Porte,159,60,99
INDIANA-Metropolitan Counties,Madison,98,49,49
INDIANA-Metropolitan Counties,Monroe,112,36,76
INDIANA-Metropolitan Counties,Morgan,29,25,4
INDIANA-Metropolitan Counties,Newton,44,18,26
INDIANA-Metropolitan Counties,Ohio,9,9,0
INDIANA-Metropolitan Counties,Owen,32,12,20
INDIANA-Metropolitan Counties,Porter,155,65,90
INDIANA-Metropolitan Counties,Posey,13,12,1
INDIANA-Metropolitan Counties,Putnam,34,17,17
INDIANA-Metropolitan Counties,Shelby,84,29,55
INDIANA-Metropolitan Counties,St. Joseph,263,107,156
INDIANA-Metropolitan Counties,Sullivan,35,10,25
INDIANA-Metropolitan Counties,Tippecanoe,140,46,94
INDIANA-Metropolitan Counties,Tipton,26,10,16
INDIANA-Metropolitan Counties,Vanderburgh,241,102,139
INDIANA-Metropolitan Counties,Vermillion,27,9,18
INDIANA-Metropolitan Counties,Vigo,89,38,51
INDIANA-Metropolitan Counties,Warrick,80,38,42
INDIANA-Metropolitan Counties,Washington,35,12,23
INDIANA-Metropolitan Counties,Wells,39,15,24
INDIANA-Metropolitan Counties,Whitley,47,15,32
INDIANA-Nonmetropolitan Counties,Adams,41,16,25
INDIANA-Nonmetropolitan Counties,Blackford,30,9,21
INDIANA-Nonmetropolitan Counties,Cass,51,17,34
INDIANA-Nonmetropolitan Counties,Crawford,15,8,7
INDIANA-Nonmetropolitan Counties,Daviess,63,19,44
INDIANA-Nonmetropolitan Counties,DeKalb,62,23,39
INDIANA-Nonmetropolitan Counties,Dubois,36,16,20
INDIANA-Nonmetropolitan Counties,Fayette,35,11,24
INDIANA-Nonmetropolitan Counties,Fountain,20,8,12
INDIANA-Nonmetropolitan Counties,Fulton,25,10,15
INDIANA-Nonmetropolitan Counties,Grant,117,45,72
INDIANA-Nonmetropolitan Counties,Henry,62,27,35
INDIANA-Nonmetropolitan Counties,Huntington,39,14,25
INDIANA-Nonmetropolitan Counties,Jackson,53,15,38
INDIANA-Nonmetropolitan Counties,Jay,43,11,32
INDIANA-Nonmetropolitan Counties,Jefferson,34,16,18
INDIANA-Nonmetropolitan Counties,Knox,41,16,25
INDIANA-Nonmetropolitan Counties,Kosciusko,77,36,41
INDIANA-Nonmetropolitan Counties,LaGrange,56,18,38
INDIANA-Nonmetropolitan Counties,Lawrence,66,25,41
INDIANA-Nonmetropolitan Counties,Marshall,58,21,37
INDIANA-Nonmetropolitan Counties,Martin,19,7,12
INDIANA-Nonmetropolitan Counties,Miami,49,15,34
INDIANA-Nonmetropolitan Counties,Montgomery,65,19,46
INDIANA-Nonmetropolitan Counties,Noble,72,20,52
INDIANA-Nonmetropolitan Counties,Orange,27,9,18
INDIANA-Nonmetropolitan Counties,Parke,37,11,26
INDIANA-Nonmetropolitan Counties,Perry,16,7,9
INDIANA-Nonmetropolitan Counties,Pike,26,9,17
INDIANA-Nonmetropolitan Counties,Pulaski,42,13,29
INDIANA-Nonmetropolitan Counties,Randolph,40,15,25
INDIANA-Nonmetropolitan Counties,Ripley,28,10,18
INDIANA-Nonmetropolitan Counties,Rush,26,11,15
INDIANA-Nonmetropolitan Counties,Scott,14,12,2
INDIANA-Nonmetropolitan Counties,Starke,26,12,14
INDIANA-Nonmetropolitan Counties,Steuben,61,21,40
INDIANA-Nonmetropolitan Counties,Union,11,6,5
INDIANA-Nonmetropolitan Counties,Wabash,31,12,19
INDIANA-Nonmetropolitan Counties,Warren,20,7,13
INDIANA-Nonmetropolitan Counties,Wayne,113,68,45
INDIANA-Nonmetropolitan Counties,White,36,13,23
IOWA-Metropolitan Counties,Benton,25,12,13
IOWA-Metropolitan Counties,Black Hawk,134,102,32
IOWA-Metropolitan Counties,Bremer,31,11,20
IOWA-Metropolitan Counties,Dallas,47,22,25
IOWA-Metropolitan Counties,Dubuque,86,73,13
IOWA-Metropolitan Counties,Grundy,16,12,4
IOWA-Metropolitan Counties,Guthrie,10,5,5
IOWA-Metropolitan Counties,Harrison,27,10,17
IOWA-Metropolitan Counties,Johnson,84,66,18
IOWA-Metropolitan Counties,Jones,21,8,13
IOWA-Metropolitan Counties,Linn,177,116,61
IOWA-Metropolitan Counties,Madison,15,7,8
IOWA-Metropolitan Counties,Mills,19,11,8
IOWA-Metropolitan Counties,Pottawattamie,192,49,143
IOWA-Metropolitan Counties,Scott,153,44,109
IOWA-Metropolitan Counties,Story,80,31,49
IOWA-Metropolitan Counties,Warren,34,23,11
IOWA-Metropolitan Counties,Washington,30,17,13
IOWA-Metropolitan Counties,Woodbury,100,35,65
IOWA-Nonmetropolitan Counties,Adair,14,6,8
IOWA-Nonmetropolitan Counties,Adams,11,6,5
IOWA-Nonmetropolitan Counties,Allamakee,14,8,6
IOWA-Nonmetropolitan Counties,Appanoose,14,7,7
IOWA-Nonmetropolitan Counties,Audubon,8,5,3
IOWA-Nonmetropolitan Counties,Boone,28,11,17
IOWA-Nonmetropolitan Counties,Buchanan,27,13,14
IOWA-Nonmetropolitan Counties,Buena Vista,30,13,17
IOWA-Nonmetropolitan Counties,Butler,20,12,8
IOWA-Nonmetropolitan Counties,Calhoun,11,6,5
IOWA-Nonmetropolitan Counties,Carroll,14,9,5
IOWA-Nonmetropolitan Counties,Cass,11,8,3
IOWA-Nonmetropolitan Counties,Cedar,39,11,28
IOWA-Nonmetropolitan Counties,Cerro Gordo,67,18,49
IOWA-Nonmetropolitan Counties,Cherokee,17,6,11
IOWA-Nonmetropolitan Counties,Chickasaw,13,8,5
IOWA-Nonmetropolitan Counties,Clarke,17,6,11
IOWA-Nonmetropolitan Counties,Clay,17,9,8
IOWA-Nonmetropolitan Counties,Clayton,27,13,14
IOWA-Nonmetropolitan Counties,Clinton,41,24,17
IOWA-Nonmetropolitan Counties,Crawford,13,10,3
IOWA-Nonmetropolitan Counties,Davis,12,5,7
IOWA-Nonmetropolitan Counties,Decatur,10,10,0
IOWA-Nonmetropolitan Counties,Delaware,17,13,4
IOWA-Nonmetropolitan Counties,Des Moines,43,20,23
IOWA-Nonmetropolitan Counties,Dickinson,20,9,11
IOWA-Nonmetropolitan Counties,Emmet,16,8,8
IOWA-Nonmetropolitan Counties,Fayette,31,9,22
IOWA-Nonmetropolitan Counties,Floyd,20,11,9
IOWA-Nonmetropolitan Counties,Franklin,10,7,3
IOWA-Nonmetropolitan Counties,Fremont,17,7,10
IOWA-Nonmetropolitan Counties,Greene,16,7,9
IOWA-Nonmetropolitan Counties,Hamilton,29,10,19
IOWA-Nonmetropolitan Counties,Hancock,10,7,3
IOWA-Nonmetropolitan Counties,Hardin,27,10,17
IOWA-Nonmetropolitan Counties,Henry,27,12,15
IOWA-Nonmetropolitan Counties,Howard,14,7,7
IOWA-Nonmetropolitan Counties,Humboldt,14,8,6
IOWA-Nonmetropolitan Counties,Ida,16,9,7
IOWA-Nonmetropolitan Counties,Iowa,26,12,14
IOWA-Nonmetropolitan Counties,Jackson,15,9,6
IOWA-Nonmetropolitan Counties,Jasper,44,14,30
IOWA-Nonmetropolitan Counties,Jefferson,30,10,20
IOWA-Nonmetropolitan Counties,Kossuth,25,9,16
IOWA-Nonmetropolitan Counties,Lee,30,15,15
IOWA-Nonmetropolitan Counties,Louisa,32,10,22
IOWA-Nonmetropolitan Counties,Lucas,13,5,8
IOWA-Nonmetropolitan Counties,Mahaska,26,9,17
IOWA-Nonmetropolitan Counties,Marion,33,12,21
IOWA-Nonmetropolitan Counties,Marshall,54,19,35
IOWA-Nonmetropolitan Counties,Mitchell,15,6,9
IOWA-Nonmetropolitan Counties,Monona,18,8,10
IOWA-Nonmetropolitan Counties,Monroe,11,5,6
IOWA-Nonmetropolitan Counties,Montgomery,20,8,12
IOWA-Nonmetropolitan Counties,Muscatine,69,22,47
IOWA-Nonmetropolitan Counties,O'Brien,28,9,19
IOWA-Nonmetropolitan Counties,Osceola,12,8,4
IOWA-Nonmetropolitan Counties,Page,15,8,7
IOWA-Nonmetropolitan Counties,Palo Alto,15,8,7
IOWA-Nonmetropolitan Counties,Plymouth,28,10,18
IOWA-Nonmetropolitan Counties,Pocahontas,17,7,10
IOWA-Nonmetropolitan Counties,Poweshick,25,11,14
IOWA-Nonmetropolitan Counties,Ringgold,11,5,6
IOWA-Nonmetropolitan Counties,Sac,19,8,11
IOWA-Nonmetropolitan Counties,Shelby,14,8,6
IOWA-Nonmetropolitan Counties,Sioux,37,14,23
IOWA-Nonmetropolitan Counties,Tama,22,13,9
IOWA-Nonmetropolitan Counties,Taylor,9,5,4
IOWA-Nonmetropolitan Counties,Union,12,6,6
IOWA-Nonmetropolitan Counties,Van Buren,11,5,6
IOWA-Nonmetropolitan Counties,Wapello,38,10,28
IOWA-Nonmetropolitan Counties,Wayne,16,5,11
IOWA-Nonmetropolitan Counties,Webster,27,16,11
IOWA-Nonmetropolitan Counties,Winnebago,10,6,4
IOWA-Nonmetropolitan Counties,Winneshiek,23,10,13
IOWA-Nonmetropolitan Counties,Worth,20,8,12
IOWA-Nonmetropolitan Counties,Wright,20,8,12
KANSAS-Metropolitan Counties,Butler,110,64,46
KANSAS-Metropolitan Counties,Doniphan,14,4,10
KANSAS-Metropolitan Counties,Douglas,135,81,54
KANSAS-Metropolitan Counties,Franklin,57,27,30
KANSAS-Metropolitan Counties,Geary,86,29,57
KANSAS-Metropolitan Counties,Harvey,38,17,21
KANSAS-Metropolitan Counties,Jackson,23,16,7
KANSAS-Metropolitan Counties,Jefferson,39,23,16
KANSAS-Metropolitan Counties,Johnson,576,462,114
KANSAS-Metropolitan Counties,Leavenworth,93,54,39
KANSAS-Metropolitan Counties,Linn,21,11,10
KANSAS-Metropolitan Counties,Miami,43,24,19
KANSAS-Metropolitan Counties,Osage,44,24,20
KANSAS-Metropolitan Counties,Pottawatomie,40,23,17
KANSAS-Metropolitan Counties,Riley County Police Department,193,103,90
KANSAS-Metropolitan Counties,Sedgwick,513,173,340
KANSAS-Metropolitan Counties,Shawnee,195,112,83
KANSAS-Metropolitan Counties,Sumner,43,20,23
KANSAS-Metropolitan Counties,Wabaunsee,20,9,11
KANSAS-Metropolitan Counties,Wyandotte,182,65,117
KANSAS-Nonmetropolitan Counties,Allen,37,9,28
KANSAS-Nonmetropolitan Counties,Anderson,29,9,20
KANSAS-Nonmetropolitan Counties,Barber,9,4,5
KANSAS-Nonmetropolitan Counties,Barton,40,19,21
KANSAS-Nonmetropolitan Counties,Bourbon,11,9,2
KANSAS-Nonmetropolitan Counties,Brown,23,7,16
KANSAS-Nonmetropolitan Counties,Chase,9,5,4
KANSAS-Nonmetropolitan Counties,Cherokee,49,20,29
KANSAS-Nonmetropolitan Counties,Cheyenne,4,4,0
KANSAS-Nonmetropolitan Counties,Clark,11,6,5
KANSAS-Nonmetropolitan Counties,Clay,20,8,12
KANSAS-Nonmetropolitan Counties,Cloud,16,9,7
KANSAS-Nonmetropolitan Counties,Coffey,31,13,18
KANSAS-Nonmetropolitan Counties,Cowley,52,22,30
KANSAS-Nonmetropolitan Counties,Crawford,69,32,37
KANSAS-Nonmetropolitan Counties,Decatur,3,3,0
KANSAS-Nonmetropolitan Counties,Dickinson,28,16,12
KANSAS-Nonmetropolitan Counties,Edwards,10,6,4
KANSAS-Nonmetropolitan Counties,Elk,9,4,5
KANSAS-Nonmetropolitan Counties,Ellis,29,17,12
KANSAS-Nonmetropolitan Counties,Ellsworth,16,8,8
KANSAS-Nonmetropolitan Counties,Finney,92,35,57
KANSAS-Nonmetropolitan Counties,Ford,64,27,37
KANSAS-Nonmetropolitan Counties,Gove,4,3,1
KANSAS-Nonmetropolitan Counties,Graham,7,3,4
KANSAS-Nonmetropolitan Counties,Grant,16,7,9
KANSAS-Nonmetropolitan Counties,Greenwood,21,12,9
KANSAS-Nonmetropolitan Counties,Hamilton,12,6,6
KANSAS-Nonmetropolitan Counties,Harper,7,6,1
KANSAS-Nonmetropolitan Counties,Haskell,16,11,5
KANSAS-Nonmetropolitan Counties,Hodgeman,8,4,4
KANSAS-Nonmetropolitan Counties,Kearny,21,12,9
KANSAS-Nonmetropolitan Counties,Kingman,17,7,10
KANSAS-Nonmetropolitan Counties,Kiowa,19,8,11
KANSAS-Nonmetropolitan Counties,Labette,35,17,18
KANSAS-Nonmetropolitan Counties,Lane,10,5,5
KANSAS-Nonmetropolitan Counties,Lincoln,12,7,5
KANSAS-Nonmetropolitan Counties,Logan,4,3,1
KANSAS-Nonmetropolitan Counties,Lyon,90,25,65
KANSAS-Nonmetropolitan Counties,Marshall,20,8,12
KANSAS-Nonmetropolitan Counties,McPherson,34,16,18
KANSAS-Nonmetropolitan Counties,Meade,16,5,11
KANSAS-Nonmetropolitan Counties,Mitchell,17,7,10
KANSAS-Nonmetropolitan Counties,Montgomery,34,24,10
KANSAS-Nonmetropolitan Counties,Morton,11,6,5
KANSAS-Nonmetropolitan Counties,Nemaha,18,9,9
KANSAS-Nonmetropolitan Counties,Neosho,37,14,23
KANSAS-Nonmetropolitan Counties,Ness,12,7,5
KANSAS-Nonmetropolitan Counties,Norton,10,5,5
KANSAS-Nonmetropolitan Counties,Osborne,14,8,6
KANSAS-Nonmetropolitan Counties,Ottawa,19,6,13
KANSAS-Nonmetropolitan Counties,Pawnee,15,8,7
KANSAS-Nonmetropolitan Counties,Pratt,14,8,6
KANSAS-Nonmetropolitan Counties,Rawlins,8,3,5
KANSAS-Nonmetropolitan Counties,Reno,80,43,37
KANSAS-Nonmetropolitan Counties,Republic,13,8,5
KANSAS-Nonmetropolitan Counties,Rush,9,4,5
KANSAS-Nonmetropolitan Counties,Russell,19,11,8
KANSAS-Nonmetropolitan Counties,Saline,101,47,54
KANSAS-Nonmetropolitan Counties,Scott,7,3,4
KANSAS-Nonmetropolitan Counties,Seward,47,16,31
KANSAS-Nonmetropolitan Counties,Sheridan,6,3,3
KANSAS-Nonmetropolitan Counties,Sherman,12,7,5
KANSAS-Nonmetropolitan Counties,Smith,6,5,1
KANSAS-Nonmetropolitan Counties,Stafford,9,4,5
KANSAS-Nonmetropolitan Counties,Thomas,13,12,1
KANSAS-Nonmetropolitan Counties,Trego,4,3,1
KANSAS-Nonmetropolitan Counties,Wallace,6,2,4
KANSAS-Nonmetropolitan Counties,Washington,15,7,8
KANSAS-Nonmetropolitan Counties,Wichita,8,4,4
KENTUCKY-Metropolitan Counties,Boone,138,130,8
KENTUCKY-Metropolitan Counties,Bourbon,9,8,1
KENTUCKY-Metropolitan Counties,Boyd,35,28,7
KENTUCKY-Metropolitan Counties,Bullitt,48,43,5
KENTUCKY-Metropolitan Counties,Campbell,12,9,3
KENTUCKY-Metropolitan Counties,Campbell County Police Department,32,31,1
KENTUCKY-Metropolitan Counties,Christian,34,30,4
KENTUCKY-Metropolitan Counties,Clark,17,13,4
KENTUCKY-Metropolitan Counties,Daviess,45,40,5
KENTUCKY-Metropolitan Counties,Edmonson,9,7,2
KENTUCKY-Metropolitan Counties,Gallatin,11,10,1
KENTUCKY-Metropolitan Counties,Greenup,17,15,2
KENTUCKY-Metropolitan Counties,Hardin,39,27,12
KENTUCKY-Metropolitan Counties,Henry,9,8,1
KENTUCKY-Metropolitan Counties,Jefferson,268,216,52
KENTUCKY-Metropolitan Counties,Jessamine,32,24,8
KENTUCKY-Metropolitan Counties,Kenton County Police Department,35,33,2
KENTUCKY-Metropolitan Counties,Meade,12,9,3
KENTUCKY-Metropolitan Counties,Nelson,30,23,7
KENTUCKY-Metropolitan Counties,Oldham,16,14,2
KENTUCKY-Metropolitan Counties,Pendleton,7,6,1
KENTUCKY-Metropolitan Counties,Scott,33,31,2
KENTUCKY-Metropolitan Counties,Shelby,25,23,2
KENTUCKY-Metropolitan Counties,Spencer,8,7,1
KENTUCKY-Metropolitan Counties,Trigg,8,5,3
KENTUCKY-Metropolitan Counties,Trimble,1,1,0
KENTUCKY-Metropolitan Counties,Warren,79,56,23
KENTUCKY-Metropolitan Counties,Webster,9,7,2
KENTUCKY-Metropolitan Counties,Woodford,13,9,4
KENTUCKY-Nonmetropolitan Counties,Adair,8,6,2
KENTUCKY-Nonmetropolitan Counties,Anderson,16,14,2
KENTUCKY-Nonmetropolitan Counties,Barren,22,18,4
KENTUCKY-Nonmetropolitan Counties,Bath,4,3,1
KENTUCKY-Nonmetropolitan Counties,Bell,25,15,10
KENTUCKY-Nonmetropolitan Counties,Breckinridge,10,8,2
KENTUCKY-Nonmetropolitan Counties,Butler,8,6,2
KENTUCKY-Nonmetropolitan Counties,Caldwell,9,7,2
KENTUCKY-Nonmetropolitan Counties,Calloway,22,11,11
KENTUCKY-Nonmetropolitan Counties,Carlisle,3,2,1
KENTUCKY-Nonmetropolitan Counties,Carroll,5,4,1
KENTUCKY-Nonmetropolitan Counties,Carter,11,9,2
KENTUCKY-Nonmetropolitan Counties,Casey,8,6,2
KENTUCKY-Nonmetropolitan Counties,Clinton,5,4,1
KENTUCKY-Nonmetropolitan Counties,Crittenden,4,3,1
KENTUCKY-Nonmetropolitan Counties,Cumberland,5,4,1
KENTUCKY-Nonmetropolitan Counties,Fleming,8,8,0
