State,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
ARKANSAS-Metropolitan Counties,Sebastian,148,111,37
ARKANSAS-Metropolitan Counties,Washington,293,153,140
ARKANSAS-Nonmetropolitan Counties,Arkansas,10,10,0
ARKANSAS-Nonmetropolitan Counties,Ashley,45,21,24
ARKANSAS-Nonmetropolitan Counties,Baxter,50,32,18
ARKANSAS-Nonmetropolitan Counties,Boone,56,23,33
ARKANSAS-Nonmetropolitan Counties,Bradley,6,4,2
ARKANSAS-Nonmetropolitan Counties,Calhoun,12,6,6
ARKANSAS-Nonmetropolitan Counties,Carroll,22,19,3
ARKANSAS-Nonmetropolitan Counties,Chicot,8,7,1
ARKANSAS-Nonmetropolitan Counties,Clark,28,14,14
ARKANSAS-Nonmetropolitan Counties,Clay,22,12,10
ARKANSAS-Nonmetropolitan Counties,Cleburne,39,23,16
ARKANSAS-Nonmetropolitan Counties,Columbia,36,18,18
ARKANSAS-Nonmetropolitan Counties,Conway,36,17,19
ARKANSAS-Nonmetropolitan Counties,Cross,38,16,22
ARKANSAS-Nonmetropolitan Counties,Dallas,24,5,19
ARKANSAS-Nonmetropolitan Counties,Desha,7,6,1
ARKANSAS-Nonmetropolitan Counties,Drew,11,10,1
ARKANSAS-Nonmetropolitan Counties,Fulton,14,6,8
ARKANSAS-Nonmetropolitan Counties,Greene,49,16,33
ARKANSAS-Nonmetropolitan Counties,Hempstead,52,21,31
ARKANSAS-Nonmetropolitan Counties,Hot Spring,27,15,12
ARKANSAS-Nonmetropolitan Counties,Howard,24,10,14
ARKANSAS-Nonmetropolitan Counties,Independence,76,50,26
ARKANSAS-Nonmetropolitan Counties,Izard,27,13,14
ARKANSAS-Nonmetropolitan Counties,Jackson,21,12,9
ARKANSAS-Nonmetropolitan Counties,Johnson,34,14,20
ARKANSAS-Nonmetropolitan Counties,Lafayette,21,7,14
ARKANSAS-Nonmetropolitan Counties,Lawrence,28,15,13
ARKANSAS-Nonmetropolitan Counties,Lee,10,5,5
ARKANSAS-Nonmetropolitan Counties,Little River,17,12,5
ARKANSAS-Nonmetropolitan Counties,Logan,25,12,13
ARKANSAS-Nonmetropolitan Counties,Marion,20,18,2
ARKANSAS-Nonmetropolitan Counties,Mississippi,93,34,59
ARKANSAS-Nonmetropolitan Counties,Monroe,13,5,8
ARKANSAS-Nonmetropolitan Counties,Montgomery,16,8,8
ARKANSAS-Nonmetropolitan Counties,Nevada,16,5,11
ARKANSAS-Nonmetropolitan Counties,Newton,8,6,2
ARKANSAS-Nonmetropolitan Counties,Ouachita,39,15,24
ARKANSAS-Nonmetropolitan Counties,Phillips,18,15,3
ARKANSAS-Nonmetropolitan Counties,Pike,21,8,13
ARKANSAS-Nonmetropolitan Counties,Polk,24,11,13
ARKANSAS-Nonmetropolitan Counties,Pope,38,31,7
ARKANSAS-Nonmetropolitan Counties,Prairie,17,7,10
ARKANSAS-Nonmetropolitan Counties,Randolph,20,10,10
ARKANSAS-Nonmetropolitan Counties,Scott,28,8,20
ARKANSAS-Nonmetropolitan Counties,Searcy,12,9,3
ARKANSAS-Nonmetropolitan Counties,Sevier,29,14,15
ARKANSAS-Nonmetropolitan Counties,Sharp,31,13,18
ARKANSAS-Nonmetropolitan Counties,St. Francis,39,20,19
ARKANSAS-Nonmetropolitan Counties,Stone,18,9,9
ARKANSAS-Nonmetropolitan Counties,Union,59,27,32
ARKANSAS-Nonmetropolitan Counties,Van Buren,32,14,18
ARKANSAS-Nonmetropolitan Counties,White,96,49,47
ARKANSAS-Nonmetropolitan Counties,Woodruff,14,6,8
ARKANSAS-Nonmetropolitan Counties,Yell,26,14,12
CALIFORNIA-Metropolitan Counties,Alameda,"1,599",950,649
CALIFORNIA-Metropolitan Counties,Butte,282,108,174
CALIFORNIA-Metropolitan Counties,Contra Costa,920,618,302
CALIFORNIA-Metropolitan Counties,El Dorado,333,159,174
CALIFORNIA-Metropolitan Counties,Fresno,942,734,208
CALIFORNIA-Metropolitan Counties,Imperial,265,177,88
CALIFORNIA-Metropolitan Counties,Kern,"1,118",838,280
CALIFORNIA-Metropolitan Counties,Kings,206,69,137
CALIFORNIA-Metropolitan Counties,Los Angeles,"16,768","9,197","7,571"
CALIFORNIA-Metropolitan Counties,Madera,99,69,30
CALIFORNIA-Metropolitan Counties,Marin,282,183,99
CALIFORNIA-Metropolitan Counties,Merced,237,116,121
CALIFORNIA-Metropolitan Counties,Monterey,381,283,98
CALIFORNIA-Metropolitan Counties,Napa,130,103,27
CALIFORNIA-Metropolitan Counties,Orange,"3,459","1,948","1,511"
CALIFORNIA-Metropolitan Counties,Placer,405,216,189
CALIFORNIA-Metropolitan Counties,Riverside,"3,729","2,021","1,708"
CALIFORNIA-Metropolitan Counties,Sacramento,"1,879","1,193",686
CALIFORNIA-Metropolitan Counties,San Benito,58,27,31
CALIFORNIA-Metropolitan Counties,San Bernardino,"3,029","1,706","1,323"
CALIFORNIA-Metropolitan Counties,San Diego,"3,692","2,196","1,496"
CALIFORNIA-Metropolitan Counties,San Francisco,"1,043",873,170
CALIFORNIA-Metropolitan Counties,San Joaquin,691,284,407
CALIFORNIA-Metropolitan Counties,San Luis Obispo,359,150,209
CALIFORNIA-Metropolitan Counties,San Mateo,601,322,279
CALIFORNIA-Metropolitan Counties,Santa Barbara,600,430,170
CALIFORNIA-Metropolitan Counties,Santa Clara,"1,563","1,189",374
CALIFORNIA-Metropolitan Counties,Santa Cruz,313,138,175
CALIFORNIA-Metropolitan Counties,Shasta,205,131,74
CALIFORNIA-Metropolitan Counties,Solano,415,107,308
CALIFORNIA-Metropolitan Counties,Sonoma,610,444,166
CALIFORNIA-Metropolitan Counties,Stanislaus,509,385,124
CALIFORNIA-Metropolitan Counties,Sutter,127,99,28
CALIFORNIA-Metropolitan Counties,Tulare,653,484,169
CALIFORNIA-Metropolitan Counties,Ventura,"1,194",727,467
CALIFORNIA-Metropolitan Counties,Yolo,242,81,161
CALIFORNIA-Metropolitan Counties,Yuba,168,133,35
CALIFORNIA-Nonmetropolitan Counties,Alpine,18,15,3
CALIFORNIA-Nonmetropolitan Counties,Amador,95,49,46
CALIFORNIA-Nonmetropolitan Counties,Calaveras,92,51,41
CALIFORNIA-Nonmetropolitan Counties,Colusa,65,34,31
CALIFORNIA-Nonmetropolitan Counties,Del Norte,55,27,28
CALIFORNIA-Nonmetropolitan Counties,Glenn,52,18,34
CALIFORNIA-Nonmetropolitan Counties,Humboldt,212,166,46
CALIFORNIA-Nonmetropolitan Counties,Inyo,53,34,19
CALIFORNIA-Nonmetropolitan Counties,Lake,139,51,88
CALIFORNIA-Nonmetropolitan Counties,Lassen,62,45,17
CALIFORNIA-Nonmetropolitan Counties,Mariposa,69,55,14
CALIFORNIA-Nonmetropolitan Counties,Mendocino,138,111,27
CALIFORNIA-Nonmetropolitan Counties,Modoc,23,16,7
CALIFORNIA-Nonmetropolitan Counties,Mono,49,28,21
CALIFORNIA-Nonmetropolitan Counties,Nevada,173,66,107
CALIFORNIA-Nonmetropolitan Counties,Plumas,61,31,30
CALIFORNIA-Nonmetropolitan Counties,Sierra,16,11,5
CALIFORNIA-Nonmetropolitan Counties,Siskiyou,100,77,23
CALIFORNIA-Nonmetropolitan Counties,Tehama,106,72,34
CALIFORNIA-Nonmetropolitan Counties,Trinity,34,19,15
CALIFORNIA-Nonmetropolitan Counties,Tuolumne,128,64,64
COLORADO-Metropolitan Counties,Adams,496,353,143
COLORADO-Metropolitan Counties,Arapahoe,511,248,263
COLORADO-Metropolitan Counties,Boulder,344,214,130
COLORADO-Metropolitan Counties,Clear Creek,72,27,45
COLORADO-Metropolitan Counties,Douglas,423,286,137
COLORADO-Metropolitan Counties,Elbert,33,29,4
COLORADO-Metropolitan Counties,El Paso,636,418,218
COLORADO-Metropolitan Counties,Gilpin,46,29,17
COLORADO-Metropolitan Counties,Jefferson,801,551,250
COLORADO-Metropolitan Counties,Larimer,367,160,207
COLORADO-Metropolitan Counties,Mesa,217,94,123
COLORADO-Metropolitan Counties,Park,55,28,27
COLORADO-Metropolitan Counties,Teller,47,33,14
COLORADO-Metropolitan Counties,Weld,320,86,234
COLORADO-Nonmetropolitan Counties,Alamosa,43,29,14
COLORADO-Nonmetropolitan Counties,Archuleta,35,16,19
COLORADO-Nonmetropolitan Counties,Baca,11,4,7
COLORADO-Nonmetropolitan Counties,Bent,19,8,11
COLORADO-Nonmetropolitan Counties,Chaffee,45,16,29
COLORADO-Nonmetropolitan Counties,Cheyenne,10,5,5
COLORADO-Nonmetropolitan Counties,Conejos,21,7,14
