"Unemployment and median household income for the U.S., States, and counties, 2007-18",,,,,,
FIPS,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Median_Household_Income_2017,Med_HH_Income_Percent_of_State_Total_2017
72033,7779,7074,705,9.1,,
72035,16101,14475,1626,10.1,,
72037,3773,3264,509,13.5,,
72039,3833,3215,618,16.1,,
72041,15240,13960,1280,8.4,,
72043,10346,8667,1679,16.2,,
72045,4946,4365,581,11.7,,
72047,9009,7991,1018,11.3,,
72049,912,872,40,4.4,,
72051,12814,11932,882,6.9,,
72053,11108,9627,1481,13.3,,
72054,3357,2878,479,14.3,,
72055,4051,3311,740,18.3,,
72057,11741,9905,1836,15.6,,
72059,5083,4250,833,16.4,,
72061,36740,34804,1936,5.3,,
72063,17553,16272,1281,7.3,,
72065,13081,11255,1826,14.0,,
72067,5536,4832,704,12.7,,
72069,17367,14944,2423,14.0,,
72071,12595,10910,1685,13.4,,
72073,4248,3696,552,13.0,,
72075,15024,13087,1937,12.9,,
72077,12316,10895,1421,11.5,,
72079,5471,4408,1063,19.4,,
72081,7231,5886,1345,18.6,,
72083,2800,2223,577,20.6,,
72085,11241,9895,1346,12.0,,
72087,8426,7617,809,9.6,,
72089,6220,5422,798,12.8,,
72091,11501,10279,1222,10.6,,
72093,2023,1617,406,20.1,,
72095,2947,2438,509,17.3,,
72097,22569,19416,3153,14.0,,
72099,10703,9131,1572,14.7,,
72101,8025,7030,995,12.4,,
72103,8011,7119,892,11.1,,
72105,7152,6306,846,11.8,,
72107,5094,4368,726,14.3,,
72109,4641,3727,914,19.7,,
72111,5991,4945,1046,17.5,,
72113,45581,40280,5301,11.6,,
72115,6059,5103,956,15.8,,
72117,4662,3950,712,15.3,,
72119,16947,15304,1643,9.7,,
72121,6366,5294,1072,16.8,,
72123,7478,6079,1399,18.7,,
72125,10014,8445,1569,15.7,,
72127,132461,123168,9293,7.0,,
72129,11903,10378,1525,12.8,,
72131,10572,8707,1865,17.6,,
72133,9734,8417,1317,13.5,,
72135,26557,24505,2052,7.7,,
72137,29175,26816,2359,8.1,,
72139,26614,25038,1576,5.9,,
72141,6753,5811,942,13.9,,
72143,9782,8736,1046,10.7,,
72145,13409,11743,1666,12.4,,
72147,3026,2588,438,14.5,,
72149,7554,6088,1466,19.4,,
72151,8996,7510,1486,16.5,,
72153,10156,8407,1749,17.2,,
