"Unemployment and median household income for the U.S., States, and counties, 2007-18",,,,,,
FIPS,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Median_Household_Income_2017,Med_HH_Income_Percent_of_State_Total_2017
1119,4953,4626,327,6.6,"$26,495",55.0
1121,34644,32903,1741,5.0,"$41,733",86.6
1123,18201,17432,769,4.2,"$44,469",92.3
1125,99865,95692,4173,4.2,"$51,644",107.2
1127,24898,23639,1259,5.1,"$41,925",87.0
1129,6691,6237,454,6.8,"$44,249",91.8
1131,2802,2481,321,11.5,"$25,700",53.3
1133,9693,9203,490,5.1,"$38,562",80.0
2000,360759,335682,25077,7.0,"$74,058",100.0
2013,2538,2474,64,2.5,"$69,375",93.7
2016,3737,3599,138,3.7,"$80,290",108.4
2020,153725,144787,8938,5.8,"$78,579",106.1
2050,7358,6366,992,13.5,"$45,582",61.5
2060,421,395,26,6.2,"$70,094",94.6
2068,1149,1046,103,9.0,"$73,220",98.9
2070,2052,1869,183,8.9,"$52,641",71.1
2090,46420,43590,2830,6.1,"$74,241",100.2
2100,1082,986,96,8.9,"$53,413",72.1
2105,1142,1002,140,12.3,"$50,573",68.3
2110,17276,16478,798,4.6,"$90,436",122.1
2122,26859,24642,2217,8.3,"$63,559",85.8
2130,7095,6659,436,6.1,"$71,298",96.3
2150,6316,5999,317,5.0,"$71,118",96.0
2158,2760,2218,542,19.6,"$31,250",42.2
2164,718,634,84,11.7,"$47,644",64.3
2170,48323,44337,3986,8.2,"$72,296",97.6
2180,4107,3611,496,12.1,"$53,877",72.7
2185,3600,3334,266,7.4,"$82,736",111.7
2188,2965,2486,479,16.2,"$53,060",71.6
2195,1417,1287,130,9.2,"$59,176",79.9
2198,2851,2536,315,11.0,"$46,488",62.8
2201,,,,,,
2220,4444,4243,201,4.5,"$69,501",93.8
2230,830,745,85,10.2,"$66,991",90.5
2232,,,,,,
2240,2940,2639,301,10.2,"$59,382",80.2
2261,4876,4500,376,7.7,"$86,196",116.4
2275,1050,970,80,7.6,"$55,696",75.2
2280,,,,,,
2282,234,212,22,9.4,"$59,955",81.0
2290,2477,2042,435,17.6,"$37,907",51.2
4000,3327949,3165127,162822,4.9,"$56,508",100.0
4001,20409,18302,2107,10.3,"$33,053",58.5
4003,49424,46664,2760,5.6,"$48,966",86.7
4005,75550,71361,4189,5.5,"$54,399",96.3
4007,21349,20056,1293,6.1,"$38,897",68.8
4009,14386,13602,784,5.4,"$46,378",82.1
4011,3991,3790,201,5.0,"$63,557",112.5
4012,8699,8229,470,5.4,"$36,389",64.4
4013,2145369,2055260,90109,4.2,"$62,221",110.1
4015,82515,77661,4854,5.9,"$42,210",74.7
4017,40771,37648,3123,7.7,"$40,883",72.3
4019,476837,455332,21505,4.5,"$51,392",90.9
4021,171808,163135,8673,5.0,"$53,114",94.0
4023,19094,17282,1812,9.5,"$39,265",69.5
4025,102043,97418,4625,4.5,"$49,860",88.2
4027,95707,79389,16318,17.0,"$46,013",81.4
5000,1347630,1297652,49978,3.7,"$45,916",100.0
5001,8972,8680,292,3.3,"$43,752",95.3
5003,7629,7191,438,5.7,"$40,495",88.2
5005,16372,15675,697,4.3,"$43,011",93.7
5007,132565,128642,3923,3.0,"$64,728",141.0
5009,15808,15266,542,3.4,"$41,770",91.0
5011,4297,4092,205,4.8,"$35,950",78.3
5013,2397,2304,93,3.9,"$42,484",92.5
5015,13001,12568,433,3.3,"$38,297",83.4
5017,3467,3241,226,6.5,"$31,810",69.3
5019,9387,9013,374,4.0,"$40,536",88.3
5021,5885,5619,266,4.5,"$35,164",76.6
5023,9282,8825,457,4.9,"$43,170",94.0
5025,3329,3185,144,4.3,"$47,812",104.1
5027,9061,8602,459,5.1,"$38,488",83.8
5029,8227,7834,393,4.8,"$43,519",94.8
5031,53628,52018,1610,3.0,"$49,355",107.5
5033,26948,25999,949,3.5,"$44,850",97.7
5035,21394,20460,934,4.4,"$39,272",85.5
5037,7659,7352,307,4.0,"$41,661",90.7
5039,2827,2699,128,4.5,"$33,739",73.5
5041,5451,5189,262,4.8,"$33,228",72.4
5043,7793,7388,405,5.2,"$41,339",90.0
5045,61395,59349,2046,3.3,"$51,535",112.2
5047,7403,7142,261,3.5,"$41,140",89.6
5049,4720,4521,199,4.2,"$35,723",77.8
5051,40364,38733,1631,4.0,"$44,662",97.3
5053,8330,8061,269,3.2,"$54,819",119.4
5055,19728,19001,727,3.7,"$46,029",100.2
5057,9825,9484,341,3.5,"$39,505",86.0
5059,14094,13571,523,3.7,"$42,329",92.2
5061,5970,5789,181,3.0,"$36,744",80.0
5063,16146,15461,685,4.2,"$42,332",92.2
5065,4881,4611,270,5.5,"$37,958",82.7
5067,5884,5539,345,5.9,"$36,235",78.9
5069,28016,26564,1452,5.2,"$38,677",84.2
5071,10574,10123,451,4.3,"$39,798",86.7
5073,2507,2379,128,5.1,"$33,378",72.7
5075,6861,6603,258,3.8,"$40,777",88.8
5077,2970,2827,143,4.8,"$28,875",62.9
5079,4055,3886,169,4.2,"$43,821",95.4
5081,5503,5236,267,4.9,"$42,063",91.6
5083,8897,8556,341,3.8,"$37,676",82.1
5085,33871,32763,1108,3.3,"$54,378",118.4
5087,7376,7165,211,2.9,"$40,568",88.4
5089,6483,6227,256,3.9,"$39,539",86.1
5091,19773,18914,859,4.3,"$44,325",96.5
5093,17794,16736,1058,5.9,"$39,678",86.4
5095,2798,2679,119,4.3,"$32,427",70.6
5097,3070,2922,148,4.8,"$35,500",77.3
5099,3578,3450,128,3.6,"$46,687",101.7
5101,3324,3204,120,3.6,"$34,036",74.1
5103,9668,9223,445,4.6,"$39,576",86.2
5105,4248,4072,176,4.1,"$44,118",96.1
5107,6537,6158,379,5.8,"$27,663",60.2
5109,4244,4072,172,4.1,"$37,493",81.7
5111,10264,9837,427,4.2,"$39,778",86.6
5113,8003,7643,360,4.5,"$35,678",77.7
5115,29047,27753,1294,4.5,"$45,803",99.8
5117,3698,3547,151,4.1,"$43,139",94.0
5119,188605,182172,6433,3.4,"$52,361",114.0
5121,6925,6637,288,4.2,"$35,989",78.4
5123,8356,7935,421,5.0,"$31,561",68.7
5125,57527,55790,1737,3.0,"$61,384",133.7
5127,4395,4241,154,3.5,"$33,354",72.6
5129,2936,2801,135,4.6,"$30,640",66.7
5131,57259,55191,2068,3.6,"$44,058",96.0
5133,5600,5344,256,4.6,"$41,649",90.7
5135,5964,5665,299,5.0,"$34,266",74.6
5137,4796,4567,229,4.8,"$32,778",71.4
5139,16054,15204,850,5.3,"$43,827",95.5
5141,6044,5714,330,5.5,"$36,244",78.9
5143,120782,117651,3131,2.6,"$50,400",109.8
5145,33639,32109,1530,4.5,"$44,088",96.0
5147,2927,2785,142,4.9,"$32,271",70.3
5149,8547,8202,345,4.0,"$40,325",87.8
6000,19205295,18285492,919803,4.8,"$71,785",100.0
6001,840239,809372,30867,3.7,"$95,550",133.1
6003,550,516,34,6.2,"$55,755",77.7
6005,14727,13997,730,5.0,"$60,588",84.4
6007,102230,96327,5903,5.8,"$48,634",67.7
6009,21064,20070,994,4.7,"$58,536",81.5
6011,10831,9294,1537,14.2,"$53,595",74.7
6013,559243,537814,21429,3.8,"$95,062",132.4
6015,9718,9094,624,6.4,"$39,996",55.7
6017,89928,86007,3921,4.4,"$78,464",109.3
6019,445345,407412,37933,8.5,"$51,452",71.7
6021,12830,11873,957,7.5,"$49,979",69.6
6023,62633,60011,2622,4.2,"$46,123",64.3
6025,72127,58048,14079,19.5,"$43,413",60.5
6027,8625,8249,376,4.4,"$53,528",74.6
6029,384817,349477,35340,9.2,"$49,904",69.5
6031,57376,52280,5096,8.9,"$55,076",76.7
6033,29368,27675,1693,5.8,"$45,797",63.8
6035,10049,9496,553,5.5,"$58,776",81.9
6037,5096516,4853818,242698,4.8,"$64,912",90.4
6039,61032,56089,4943,8.1,"$50,783",70.7
6041,139987,135965,4022,2.9,"$112,735",157.0
6043,7671,7224,447,5.8,"$52,387",73.0
6045,39628,37842,1786,4.5,"$50,453",70.3
6047,115430,104625,10805,9.4,"$48,036",66.9
6049,3199,2940,259,8.1,"$40,970",57.1
6051,8506,8129,377,4.4,"$60,318",84.0
6053,219945,204210,15735,7.2,"$70,294",97.9
6055,73421,70748,2673,3.6,"$83,881",116.9
6057,48405,46419,1986,4.1,"$64,901",90.4
6059,1609779,1553362,56417,3.5,"$86,031",119.8
6061,181677,174668,7009,3.9,"$81,366",113.3
6063,7779,7090,689,8.9,"$51,756",72.1
6065,1073406,1017086,56320,5.2,"$63,776",88.8
6067,698131,665596,32535,4.7,"$62,959",87.7
6069,30657,28892,1765,5.8,"$77,200",107.5
6071,944269,897784,46485,4.9,"$60,270",84.0
6073,1574601,1511423,63178,4.0,"$76,048",105.9
6075,564478,547978,16500,2.9,"$109,601",152.7
6077,323648,301051,22597,7.0,"$60,950",84.9
6079,140596,135552,5044,3.6,"$70,634",98.4
6081,446050,433946,12104,2.7,"$115,908",161.5
6083,215453,205724,9729,4.5,"$70,651",98.4
6085,1039919,1006508,33411,3.2,"$118,468",165.0
6087,142923,134802,8121,5.7,"$76,633",106.8
6089,74079,69790,4289,5.8,"$51,207",71.3
6091,1292,1208,84,6.5,"$49,495",68.9
6093,17823,16531,1292,7.2,"$44,013",61.3
6095,208440,198517,9923,4.8,"$75,931",105.8
6097,260419,251639,8780,3.4,"$79,511",110.8
6099,242481,224366,18115,7.5,"$58,925",82.1
6101,45055,41145,3910,8.7,"$54,102",75.4
6103,25568,23943,1625,6.4,"$41,819",58.3
6105,4813,4516,297,6.2,"$40,676",56.7
6107,204833,183475,21358,10.4,"$46,377",64.6
6109,21418,20265,1153,5.4,"$58,776",81.9
6111,424685,405601,19084,4.5,"$82,436",114.8
6113,106806,101368,5438,5.1,"$64,900",90.4
6115,28779,26645,2134,7.4,"$53,822",75.0
8000,2992412,2911079,81333,2.7,"$69,113",100.0
8001,261018,253372,7646,2.9,"$65,977",95.5
8003,8147,7878,269,3.3,"$43,121",62.4
8005,350862,341506,9356,2.7,"$75,196",108.8
8007,6623,6430,193,2.9,"$52,481",75.9
8009,2124,2091,33,1.6,"$35,725",51.7
8011,1927,1876,51,2.6,"$37,307",54.0
8013,186811,182486,4325,2.3,"$80,701",116.8
8014,38579,37613,966,2.5,"$91,968",133.1
8015,9315,9105,210,2.3,"$53,545",77.5
8017,1134,1115,19,1.7,"$50,571",73.2
8019,5875,5728,147,2.5,"$71,850",104.0
8021,3928,3770,158,4.0,"$36,852",53.3
8023,1824,1762,62,3.4,"$30,486",44.1
8025,1472,1428,44,3.0,"$38,112",55.1
8027,2035,1975,60,2.9,"$54,080",78.2
8029,14294,13760,534,3.7,"$43,528",63.0
8031,399382,388854,10528,2.6,"$64,974",94.0
8033,1131,1098,33,2.9,"$44,882",64.9
8035,184973,180738,4235,2.3,"$112,386",162.6
8037,34845,34067,778,2.2,"$88,913",128.6
8039,14410,14074,336,2.3,"$102,731",148.6
8041,325996,315758,10238,3.1,"$65,260",94.4
8043,14972,14355,617,4.1,"$48,820",70.6
8045,31560,30684,876,2.8,"$71,897",104.0
8047,3605,3535,70,1.9,"$79,636",115.2
8049,9552,9345,207,2.2,"$61,241",88.6
8051,10702,10493,209,2.0,"$53,480",77.4
8053,473,463,10,2.1,"$59,157",85.6
8055,2553,2411,142,5.6,"$37,424",54.1
8057,962,945,17,1.8,"$48,785",70.6
8059,323443,315287,8156,2.5,"$80,562",116.6
8061,925,909,16,1.7,"$43,845",63.4
8063,4385,4313,72,1.6,"$44,028",63.7
8065,4717,4620,97,2.1,"$49,799",72.1
8067,31452,30714,738,2.3,"$61,974",89.7
8069,195355,190803,4552,2.3,"$69,443",100.5
8071,6264,6022,242,3.9,"$39,552",57.2
8073,2380,2333,47,2.0,"$45,308",65.6
8075,11114,10864,250,2.2,"$50,246",72.7
8077,73721,70907,2814,3.8,"$52,623",76.1
8079,466,457,9,1.9,"$55,906",80.9
8081,7332,7098,234,3.2,"$57,680",83.5
8083,12856,12367,489,3.8,"$48,692",70.5
8085,20827,20167,660,3.2,"$51,031",73.8
8087,15592,15229,363,2.3,"$50,453",73.0
8089,8277,7947,330,4.0,"$37,907",54.8
8091,2264,2201,63,2.8,"$63,627",92.1
8093,10473,10235,238,2.3,"$69,884",101.1
8095,2576,2536,40,1.6,"$52,096",75.4
8097,10995,10670,325,3.0,"$78,596",113.7
8099,6202,6046,156,2.5,"$41,238",59.7
8101,74787,71700,3087,4.1,"$44,060",63.8
8103,2786,2681,105,3.8,"$58,336",84.4
8105,5374,5150,224,4.2,"$41,693",60.3
8107,15567,15211,356,2.3,"$76,505",110.7
8109,3438,3292,146,4.2,"$36,558",52.9
8111,528,517,11,2.1,"$46,985",68.0
8113,5349,5202,147,2.7,"$70,418",101.9
8115,1192,1167,25,2.1,"$39,880",57.7
8117,21862,21470,392,1.8,"$75,420",109.1
8119,12254,11876,378,3.1,"$68,078",98.5
8121,3031,2974,57,1.9,"$48,325",69.9
8123,157868,153807,4061,2.6,"$68,679",99.4
8125,5682,5594,88,1.5,"$48,893",70.7
9000,1896938,1807506,89432,4.7,"$74,428",100.0
9001,479370,457520,21850,4.6,"$91,170",122.5
9003,477619,454391,23228,4.9,"$70,433",94.6
9005,104078,99542,4536,4.4,"$77,968",104.8
9007,92517,88744,3773,4.1,"$81,533",109.5
9009,456958,433777,23181,5.1,"$66,764",89.7
9011,137428,131215,6213,4.5,"$71,721",96.4
9013,85841,82395,3446,4.0,"$75,571",101.5
9015,63130,59924,3206,5.1,"$62,606",84.1
10000,476844,455489,21355,4.5,"$64,085",100.0
10001,77537,73757,3780,4.9,"$57,112",89.1
10003,295860,282893,12967,4.4,"$66,839",104.3
10005,103448,98839,4609,4.5,"$61,124",95.4
11000,401450,377153,24297,6.1,"$80,153",100.0
11001,401450,377153,24297,6.1,"$80,153",100.0
12000,10093451,9669228,424223,4.2,"$52,582",100.0
12001,135814,130640,5174,3.8,"$45,230",86.0
12003,11687,11199,488,4.2,"$51,856",98.6
12005,88504,84835,3669,4.1,"$51,633",98.2
12007,11286,10875,411,3.6,"$44,997",85.6
12009,269661,258012,11649,4.3,"$52,596",100.0
12011,1025093,984473,40620,4.0,"$56,702",107.8
12013,4987,4745,242,4.9,"$37,612",71.5
12015,70233,66909,3324,4.7,"$51,583",98.1
12017,48002,45183,2819,5.9,"$43,147",82.1
12019,104471,100412,4059,3.9,"$65,375",124.3
12021,173809,166620,7189,4.1,"$66,709",126.9
12023,29410,28129,1281,4.4,"$42,097",80.1
12027,14088,13460,628,4.5,"$37,342",71.0
12029,5766,5492,274,4.8,"$38,355",72.9
12031,479605,459253,20352,4.2,"$52,105",99.1
12033,142521,136556,5965,4.2,"$48,289",91.8
12035,46290,44068,2222,4.8,"$52,713",100.2
12037,4714,4544,170,3.6,"$40,158",76.4
12039,18215,17217,998,5.5,"$38,084",72.4
12041,6841,6538,303,4.4,"$42,880",81.5
12043,4966,4700,266,5.4,"$42,865",81.5
12045,6031,5796,235,3.9,"$44,135",83.9
12047,4326,4117,209,4.8,"$35,262",67.1
12049,8991,8464,527,5.9,"$40,056",76.2
12051,16050,14882,1168,7.3,"$38,361",73.0
12053,69588,65944,3644,5.2,"$44,710",85.0
12055,36505,34442,2063,5.7,"$37,445",71.2
12057,726713,698242,28471,3.9,"$54,741",104.1
12059,6911,6583,328,4.7,"$40,657",77.3
12061,64134,60911,3223,5.0,"$51,797",98.5
12063,17355,16573,782,4.5,"$41,524",79.0
12065,5514,5274,240,4.4,"$48,163",91.6
12067,2949,2840,109,3.7,"$41,549",79.0
12069,151482,145126,6356,4.2,"$51,429",97.8
12071,336228,322479,13749,4.1,"$54,198",103.1
12073,152613,146656,5957,3.9,"$51,716",98.4
12075,16827,16077,750,4.5,"$37,272",70.9
12077,2629,2509,120,4.6,"$41,308",78.6
12079,7392,7063,329,4.5,"$37,256",70.9
12081,175321,168338,6983,4.0,"$55,189",105.0
12083,134143,127383,6760,5.0,"$43,772",83.2
12085,72282,69256,3026,4.2,"$58,344",111.0
12086,1375601,1312619,62982,4.6,"$49,758",94.6
12087,45807,44315,1492,3.3,"$63,009",119.8
12089,39261,37733,1528,3.9,"$70,590",134.2
12091,94693,91409,3284,3.5,"$60,798",115.6
12093,18396,17591,805,4.4,"$42,524",80.9
12095,731318,703797,27521,3.8,"$54,021",102.7
12097,173568,166068,7500,4.3,"$49,284",93.7
12099,724285,694080,30205,4.2,"$60,059",114.2
12101,228966,218744,10222,4.5,"$51,247",97.5
12103,485617,467067,18550,3.8,"$51,488",97.9
12105,294256,280165,14091,4.8,"$48,328",91.9
12107,27111,25636,1475,5.4,"$34,390",65.4
12109,125275,121030,4245,3.4,"$77,022",146.5
12111,139607,132406,7201,5.2,"$49,995",95.1
12113,79279,76194,3085,3.9,"$65,434",124.4
12115,185193,177889,7304,3.9,"$58,423",111.1
12117,247979,238751,9228,3.7,"$63,865",121.5
12119,30346,28491,1855,6.1,"$57,931",110.2
12121,18397,17613,784,4.3,"$44,144",84.0
12123,8796,8401,395,4.5,"$41,557",79.0
12125,4827,4646,181,3.7,"$47,373",90.1
12127,250456,239348,11108,4.4,"$46,911",89.2
12129,14531,14010,521,3.6,"$55,717",106.0
12131,30131,29027,1104,3.7,"$52,922",100.6
12133,9814,9385,429,4.4,"$36,052",68.6
13000,5058960,4822263,236697,4.7,"$56,117",100.0
13001,9263,8759,504,5.4,"$40,862",72.8
13003,4166,3982,184,4.4,"$34,821",62.1
13005,5054,4831,223,4.4,"$38,417",68.5
13007,1237,1161,76,6.1,"$37,286",66.4
13009,17596,16573,1023,5.8,"$40,358",71.9
13011,9275,8917,358,3.9,"$49,481",88.2
13013,39204,37627,1577,4.0,"$60,028",107.0
13015,49564,47301,2263,4.6,"$55,067",98.1
13017,5468,5047,421,7.7,"$32,370",57.7
13019,7390,7015,375,5.1,"$38,239",68.1
13021,69553,65892,3661,5.3,"$39,047",69.6
13023,4581,4276,305,6.7,"$44,262",78.9
13025,7303,6890,413,5.7,"$40,906",72.9
13027,7044,6729,315,4.5,"$36,030",64.2
13029,17609,16876,733,4.2,"$73,877",131.6
13031,36669,34837,1832,5.0,"$42,068",75.0
13033,9335,8676,659,7.1,"$41,863",74.6
13035,10619,10113,506,4.8,"$46,062",82.1
13037,2248,2131,117,5.2,"$33,889",60.4
13039,20852,19804,1048,5.0,"$53,582",95.5
13043,5228,5016,212,4.1,"$33,846",60.3
13045,54893,52158,2735,5.0,"$51,388",91.6
13047,32857,31512,1345,4.1,"$53,833",95.9
13049,4861,4618,243,5.0,"$40,636",72.4
13051,138848,132669,6179,4.5,"$54,667",97.4
13053,1988,1854,134,6.7,"$44,439",79.2
13055,10556,10063,493,4.7,"$39,325",70.1
13057,131066,126205,4861,3.7,"$78,247",139.4
13059,60917,58051,2866,4.7,"$39,901",71.1
13061,866,789,77,8.9,"$29,122",51.9
13063,135136,127316,7820,5.8,"$44,757",79.8
13065,2775,2624,151,5.4,"$37,174",66.2
13067,420984,403922,17062,4.1,"$75,485",134.5
13069,18452,17521,931,5.0,"$39,408",70.2
13071,22076,21090,986,4.5,"$36,651",65.3
13073,74256,71224,3032,4.1,"$75,832",135.1
13075,7715,7368,347,4.5,"$36,463",65.0
13077,72646,69628,3018,4.2,"$73,296",130.6
13079,5731,5451,280,4.9,"$47,422",84.5
13081,9401,8917,484,5.1,"$34,754",61.9
13083,8207,7852,355,4.3,"$45,053",80.3
13085,11879,11423,456,3.8,"$64,930",115.7
13087,11659,11018,641,5.5,"$37,835",67.4
13089,395203,376385,18818,4.8,"$61,496",109.6
13091,7131,6689,442,6.2,"$36,067",64.3
13093,5087,4832,255,5.0,"$35,781",63.8
13095,38907,36581,2326,6.0,"$36,994",65.9
13097,72050,68554,3496,4.9,"$60,177",107.2
13099,4532,4288,244,5.4,"$32,490",57.9
13101,1905,1831,74,3.9,"$36,559",65.1
13103,29467,28285,1182,4.0,"$68,109",121.4
13105,7860,7451,409,5.2,"$35,452",63.2
13107,8593,8023,570,6.6,"$33,551",59.8
13109,4890,4678,212,4.3,"$34,464",61.4
13111,10982,10461,521,4.7,"$42,986",76.6
13113,56986,54685,2301,4.0,"$87,831",156.5
13115,44210,41930,2280,5.2,"$45,979",81.9
13117,116473,112147,4326,3.7,"$103,083",183.7
13119,10079,9603,476,4.7,"$42,703",76.1
13121,548868,522599,26269,4.8,"$64,901",115.7
13123,12009,11409,600,5.0,"$46,200",82.3
13125,1299,1235,64,4.9,"$43,529",77.6
13127,39814,37948,1866,4.7,"$50,740",90.4
13129,26671,25450,1221,4.6,"$46,868",83.5
13131,10748,10228,520,4.8,"$41,095",73.2
13133,6830,6481,349,5.1,"$50,736",90.4
13135,482135,461911,20224,4.2,"$68,957",122.9
13137,19304,18432,872,4.5,"$49,292",87.8
13139,100384,96501,3883,3.9,"$61,320",109.3
13141,2529,2351,178,7.0,"$31,247",55.7
13143,12385,11797,588,4.7,"$45,167",80.5
13145,16648,15962,686,4.1,"$72,811",129.7
13147,11250,10755,495,4.4,"$44,603",79.5
13149,5167,4912,255,4.9,"$44,575",79.4
13151,112423,107013,5410,4.8,"$67,493",120.3
13153,69184,65942,3242,4.7,"$59,291",105.7
13155,3280,3053,227,6.9,"$38,511",68.6
13157,35299,34015,1284,3.6,"$63,422",113.0
13159,6856,6563,293,4.3,"$50,234",89.5
13161,6129,5762,367,6.0,"$36,786",65.6
